duns_number,uq_duns,count
3013956190,3011942686,1
1921541,3007372558,1
3009727070,3009769207,1
3009271465,3010404505,1
3015163407,3010387028,1
3001432470,3006460758,1
3014171113,3009773851,1
3014171113,3013444075,1
1917801,3013628906,1
3003727322,3003340745,1
3003939253,3011509553,2
3003939253,3012888346,1
3005151215,3013559264,1
1912875,3004881534,1
2523696,3008559304,1
3005350897,3012184662,1
3009864318,3013436443,1
3014824985,3010836489,3
3005781562,3010784755,1
3006372310,3013670025,1
1042599,3009436720,1
1042599,3013497126,1
3004611182,3004102971,1
2511349,1000223178,1
2432212,3011123993,2
3004819820,3011775721,1
3011778211,3010839113,2
3006031801,3010632712,1
1383212,3013442632,1
2650089,3012366186,1
3012448465,3012271380,1
3006717635,3004969894,5
3006717635,3010166880,1
3004021253,3013330273,1
3006370489,3010163907,1
3002946837,3002807242,1
3014597434,3002683524,1
3005320466,1047240,3
3007549629,3006447041,1
3010922197,3012316632,1
3004712471,3008655176,1
3009864318,3001431455,1
3013558030,3002806569,1
3009729392,3008260036,1
3002869527,3010166452,1
3003483729,1000076625,1
3003483729,3006739366,1
3003112911,3005081370,2
3014601588,3003516782,1
3008275696,3006370331,1
3009469622,3013448581,1
2130055,1824467,1
3003144728,3005457901,1
