ndc_id,ndc_code,location_id
3315,79672-613-02,40
5435,43547-407-50,42
3167,59417-104-10,50
10275,59417-106-10,51
3157,59417-104-10,52
13184,76045-005-11,10
13493,0409-2344-02,24
10375,0409-2596-05,24
12882,76297-001-11,39
2658,76297-001-01,40
5155,76297-001-31,40
4755,57664-088-88,66
4197,63304-693-62,1
1577,0409-1560-29,85
7774,0409-2305-05,2
7776,0409-2305-05,24
11750,0641-6020-10,46
2529,0409-4887-10,24
1088,47781-176-01,94
12073,47781-174-01,94
10879,0409-5534-14,2
6446,0338-0049-31,12
7458,0338-0049-38,12
7447,0338-0049-38,27
7449,0338-0049-38,27
7469,0338-0049-38,26
7280,0338-0049-48,28
3300,63323-285-23,10
10993,63323-288-21,11
7877,70010-113-01,106
11739,0409-4277-01,2
426,0409-4713-02,85
11064,0409-4275-01,85
9787,13107-070-01,111
412,63323-484-57,11
417,63323-484-57,11
423,63323-484-57,11
534,63323-488-17,45
1182,0409-2815-01,2
6967,0409-3301-10,2
11233,72205-133-91,69
4028,63323-711-00,10
4028,63323-711-00,11
11414,63323-208-05,45
6006,0703-0110-03,121
11493,43066-555-24,12
11513,71093-128-05,108
12630,71093-128-06,108
11620,0264-7800-20,120
5230,0990-7983-09,24
8340,0990-7984-13,24
9927,0990-7983-03,24
11651,0990-7983-61,24
13488,0409-9042-17,24
2806,50742-448-60,127
11805,0409-2308-02,24
12258,0409-1966-05,24
1198,0990-7953-02,30
6418,0409-6625-35,24
67,60505-4741-1,71
2569,55150-171-10,33
4550,55150-168-30,33
2352,55150-250-50,34
4109,63323-186-10,45
3248,63323-671-50,10
7960,65219-460-20,159
12565,65219-462-10,58
12611,0832-0742-60,47
5186,0409-2346-32,24
12663,63323-083-05,45
1280,55150-225-05,34
12839,47335-706-49,0
2760,83090-001-10,171
12723,0409-1159-10,2
1322,0409-1159-02,85
5624,0409-9137-05,2
13762,0487-6105-01,144
6498,0409-1418-01,23
609,16729-484-45,19
8038,16729-483-03,19
14035,0338-0409-03,25
14326,68094-909-30,202
8203,0187-5101-02,204
8420,65162-027-09,205
8421,65162-027-09,205
18,64253-400-91,153
8150,63323-412-02,10
3821,71288-203-05,31
3925,65219-472-20,207
5031,0641-6043-25,46
2062,0781-3493-95,136
9818,23155-473-42,211
2247,23155-473-41,213
4159,0409-9630-05,2
8878,50458-585-01,214
2425,63323-496-97,89
8105,70121-1388-1,216
5827,70121-1388-8,218
2744,63323-280-02,11
2855,0338-0499-06,12
9461,0990-6139-03,24
4968,63323-162-02,11
7726,65282-1505-1,114
4768,76045-107-10,58
3459,0409-4596-20,2
394,66215-101-03,232
5744,0409-5555-02,2
4332,71225-126-06,239
4438,63323-421-02,10
8079,0641-1496-35,7
4627,0409-4888-20,2
8502,0409-4888-12,2
4855,0409-1403-10,16
4955,0409-2634-50,2
5317,0409-4283-01,113
6227,63323-516-10,45
6850,70069-753-25,17
9293,0338-0502-06,148
9246,0338-0049-02,26
12119,76045-211-20,10
9398,55150-161-02,33
8080,0641-1496-35,7
8444,0143-9251-10,6
10078,0409-7037-10,2
13233,0409-1660-50,2
13240,0409-1660-50,23
12156,0338-0017-03,28
10190,68180-557-09,35
10192,68180-557-09,36
369,79672-613-05,40
384,79672-613-05,40
3326,79672-613-02,40
13664,63323-854-10,45
13832,63323-851-10,45
12178,59417-103-10,49
3156,59417-104-10,52
10305,76045-004-11,10
10352,71288-205-03,32
3513,0409-2587-05,2
10937,0409-2596-03,24
14165,42858-161-01,60
1047,42858-165-01,61
4249,42858-167-01,61
5708,42858-163-01,61
10378,0409-3815-12,24
5167,76297-001-31,39
1739,43598-975-58,64
10464,43598-976-58,64
1741,43598-975-58,16
10485,71288-563-84,31
10523,0009-3073-03,3
3224,65862-706-55,55
1959,63323-485-57,10
5967,63323-486-57,10
7758,63323-495-07,11
10576,63323-485-27,45
1076,0019-1188-27,75
11967,0019-1188-81,75
8350,0597-0575-40,79
4429,63323-464-37,11
4368,0409-1805-01,2
12827,0409-1312-30,2
10960,0409-1559-30,85
11043,0409-1746-10,85
12864,63323-287-20,11
6133,47781-178-01,94
4817,0338-0049-10,12
7450,0338-0049-38,12
4821,0338-0049-10,25
6437,0338-0049-31,26
9443,0338-0049-11,26
1100,63323-477-27,10
1927,70010-115-01,106
435,0409-4713-02,2
11066,0409-4275-01,2
5312,0409-4276-02,23
11069,0409-4275-01,85
11075,0409-4275-01,85
12974,71093-131-05,108
13,13107-068-01,111
11108,13107-069-01,111
414,63323-484-57,11
534,63323-488-17,11
13258,63323-491-57,45
8376,72205-132-91,69
13496,71093-127-03,109
5925,47335-326-08,0
14292,47335-326-18,0
11611,16729-277-35,9
11619,0264-7800-20,119
4883,0990-7984-20,29
9531,0990-7984-37,29
4871,0990-7984-20,24
4230,64850-500-01,67
11724,0338-0424-18,124
11811,82154-0451-4,132
8798,0409-1966-12,2
1215,0409-2066-05,23
12148,0409-1761-62,2
12144,0409-1761-62,85
6027,60505-4744-1,142
6028,60505-4744-1,142
6150,61703-339-22,2
